Name,Size,Timings,Owner,Rent,Location,City,State,Date,Time,Item,Item_Description,Packed,Quantity,Sold,UnitPrice,Profit
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-18,07:01:00,Drinks,International,Yes,31,30,48.55,480.35
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-08-01,05:39:57,Chocolates,Domestic,Yes,76,66,33.71,301.59
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-08-08,07:40:23,Drinks,Domestic,Yes,31,6,34.5,21.07
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-08-07,16:19:10,Chewing Gum,International,Yes,59,14,31.67,102.71
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-25,12:05:07,Biscuits,International,Yes,78,56,36.25,476.62
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-08-01,18:03:41,Soanpapdi,Local,No,57,35,54.01,395.29
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-31,20:34:25,Chips,International,Yes,30,19,41.38,302.35
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-30,11:53:52,Chewing Gum,International,Yes,21,15,2.27,11.48
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-25,01:10:26,Soanpapdi,Local,No,77,14,41.44,76.33
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-30,23:51:05,Lighters,Local,Yes,31,20,15.81,99.47
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-23,20:34:30,Match Boxes,Local,No,13,11,32.45,94.71
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-14,20:47:24,Chips,Domestic,Yes,32,6,46.27,83.17
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-08-04,15:37:54,Mysorepak,Local,No,33,23,9.46,29.5
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-18,05:05:42,Chips,Domestic,Yes,15,1,9.64,1.51
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-28,00:52:47,Chewing Gum,International,Yes,67,65,22.9,328.7
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-08-08,12:11:40,Lighters,Local,Yes,30,11,55.06,84.94
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-26,15:20:11,Soda,Domestic,Yes,80,76,4.23,103.66
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-26,01:39:01,Jelly,Local,No,59,57,21.93,250.74
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-08-02,08:08:32,Soda,Domestic,Yes,80,67,38.49,980.46
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-08-05,19:57:01,Chips,International,Yes,84,39,10.53,67.1
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-08-05,13:46:42,Mysorepak,Local,No,13,2,36.05,8.9
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-25,17:27:41,Soda,International,Yes,62,53,8.84,123.67
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-23,08:35:52,Drinks,Domestic,Yes,96,44,33.59,524.18
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-25,04:06:35,Chewing Gum,Domestic,Yes,20,14,30.21,101.75
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-07-27,21:13:20,Lighters,Local,Yes,6,4,47.78,73.53
Isaiah's Pan Shop,74,11:00 - 21:00,Kala Mody,11914,"H.No. 75, Chandran Chowk",Howrah,West Bengal,2025-08-03,09:36:10,Mysorepak,Local,No,16,3,40.44,32.26
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-08-09,15:36:54,Match Boxes,Local,No,76,35,55.97,503.71
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-08-03,19:40:01,Peanuts,Local,No,42,37,49.78,365.63
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-08-04,01:40:46,Mysorepak,Local,No,99,11,11.24,17.21
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-17,22:50:01,Chips,International,Yes,58,17,29.96,70.52
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-23,20:35:05,Chocolates,Domestic,Yes,46,4,56.48,31.85
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-13,22:03:13,Match Boxes,Local,No,83,75,56.11,1256.57
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-31,04:11:56,Chewing Gum,International,Yes,17,6,12.97,8.2
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-08-09,23:06:21,Lighters,Local,Yes,91,11,18.73,27.32
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-29,03:38:33,Biscuits,International,Yes,33,15,18.29,57.88
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-27,20:37:42,Biscuits,Domestic,Yes,66,12,12.32,40.87
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-08-07,22:18:35,Chips,Domestic,Yes,79,22,48.42,294.02
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-23,06:32:07,Mysorepak,Local,No,88,34,10.15,51.32
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-14,08:08:24,Cigarettes,Domestic,Yes,11,9,16.72,58.7
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-08-05,15:35:25,Soanpapdi,Local,No,6,3,42.72,39.91
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-14,22:03:19,Biscuits,Domestic,Yes,12,10,54.98,210.01
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-08-03,17:26:41,Chips,International,Yes,20,13,18.7,92.44
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-23,22:10:57,Chewing Gum,International,Yes,40,13,52.43,271.47
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-24,18:21:31,Peanuts,Local,No,74,29,22.78,127.73
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-27,03:10:39,Soanpapdi,Local,No,90,2,48.3,34.52
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-30,15:04:24,Soda,Domestic,Yes,34,34,20.81,206.17
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-08-06,14:51:53,Drinks,International,Yes,57,14,14.75,72.54
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-08-04,20:52:52,Biscuits,Domestic,Yes,96,5,12.87,24.25
Charita's Pan Shop,88,8:00 - 22:00,Vedhika Kumar,5962,"H.No. 729
Chander Zila",Howrah,West Bengal,2025-07-21,00:49:11,Drinks,International,Yes,35,2,49.72,24.75
