Name,Date,Time,Item,Item_Description,Packed,Quantity,Sold,UnitPrice,Profit
Michael's Pan Shop,2025-07-17,09:43:14,Chocolates,Domestic,Yes,80,34,3.93,39.3
Zilmil's Pan Shop,2025-07-14,21:50:49,Soanpapdi,Local,No,94,66,52.48,973.94
Ekaja's Pan Shop,2025-08-07,16:19:40,Match Boxes,Local,No,78,30,8.3,61.93
Krish's Pan Shop,2025-07-26,00:56:55,Soda,International,Yes,87,57,16.3,201.87
Eesha's Pan Shop,2025-07-22,17:30:09,Biscuits,International,Yes,47,14,10.07,28.58
Yochana's Pan Shop,2025-07-23,16:02:57,Lighters,Local,Yes,54,18,15.53,90.82
Falan's Pan Shop,2025-08-04,06:56:02,Sweets,Local,No,68,16,44.87,254.55
Abdul's Pan Shop,2025-07-31,06:38:11,Jelly,Local,No,62,47,41.94,771.48
Bakhshi's Pan Shop,2025-08-09,18:25:42,Cigarettes,Domestic,Yes,16,13,12.53,53.59
Sara's Pan Shop,2025-08-06,20:36:32,Peanuts,Local,No,51,8,52.15,126.7
Tanmayi's Pan Shop,2025-07-25,03:41:45,Match Boxes,Local,No,45,40,23.46,310.76
Vidhi's Pan Shop,2025-07-25,21:52:27,Drinks,International,Yes,34,13,59.22,166.04
Baghyawati's Pan Shop,2025-07-24,13:26:20,Mysorepak,Local,No,73,52,57.07,1032.34
Jagat's Pan Shop,2025-07-11,08:14:40,Chewing Gum,International,Yes,50,8,9.54,17.0
Yashawini's Pan Shop,2025-07-18,14:55:55,Jelly,Local,No,100,47,34.43,292.99
Jackson's Pan Shop,2025-07-16,03:03:05,Soda,International,Yes,52,38,40.03,219.68
Ekbal's Pan Shop,2025-07-12,05:14:56,Soda,Domestic,Yes,97,25,6.7,53.73
Anirudh's Pan Shop,2025-08-09,02:14:56,Soda,Domestic,Yes,86,23,21.38,137.98
Lakshmi's Pan Shop,2025-07-24,20:42:32,Chocolates,International,Yes,50,38,40.0,513.7
Wakeeta's Pan Shop,2025-08-02,16:35:34,Soda,International,Yes,92,66,28.32,492.71
Bakhshi's Pan Shop,2025-07-14,09:49:28,Sweets,Local,No,46,31,22.67,157.79
Ojasvi's Pan Shop,2025-08-07,03:13:07,Chewing Gum,International,Yes,99,59,53.21,1090.19
Jagrati's Pan Shop,2025-08-05,08:56:15,Cigarettes,Domestic,Yes,15,11,36.89,56.72
Vaishnavi's Pan Shop,2025-07-16,17:49:06,Match Boxes,Local,No,85,6,31.16,62.53
Falguni's Pan Shop,2025-08-01,14:15:08,Soanpapdi,Local,No,62,16,14.42,63.84
Aarini's Pan Shop,2025-08-09,17:13:43,Chips,International,Yes,87,2,53.08,18.94
Vaishnavi's Pan Shop,2025-07-28,10:21:33,Jelly,Local,No,13,12,40.81,136.49
Jason's Pan Shop,2025-07-27,12:45:57,Match Boxes,Local,No,90,83,39.58,1086.92
Rohan's Pan Shop,2025-08-01,17:19:59,Chocolates,International,Yes,39,25,3.4,24.32
Inaya's Pan Shop,2025-07-20,09:31:27,Soanpapdi,Local,No,23,14,57.17,145.4
Pranav's Pan Shop,2025-07-28,04:46:50,Peanuts,Local,No,14,4,13.36,16.57
Bhavna's Pan Shop,2025-07-21,21:58:14,Chocolates,International,Yes,96,75,41.41,1180.6
Pranav's Pan Shop,2025-07-26,20:35:49,Chips,International,Yes,31,13,35.47,156.64
Chaaya's Pan Shop,2025-07-18,08:49:36,Peanuts,Local,No,71,3,23.75,13.29
Mekhala's Pan Shop,2025-07-18,07:10:07,Chocolates,Domestic,Yes,69,12,59.1,156.8
Jeevika's Pan Shop,2025-07-11,06:38:08,Peanuts,Local,No,87,83,11.94,157.63
Anmol's Pan Shop,2025-07-27,05:25:18,Soanpapdi,Local,No,93,35,59.14,584.4
Quincy's Pan Shop,2025-08-01,09:13:04,Sweets,Local,No,24,18,41.64,136.43
Lakshmi's Pan Shop,2025-07-17,01:58:59,Match Boxes,Local,No,65,56,27.33,395.72
Zehaan's Pan Shop,2025-07-24,17:08:29,Soda,International,Yes,46,39,12.78,150.57
Ekavir's Pan Shop,2025-07-19,22:40:00,Match Boxes,Local,No,73,7,52.44,38.87
Yashawini's Pan Shop,2025-08-02,19:35:04,Drinks,International,Yes,66,7,51.08,120.68
Manya's Pan Shop,2025-08-03,03:52:18,Drinks,International,Yes,69,45,8.81,124.0
Neel's Pan Shop,2025-08-09,22:15:37,Cigarettes,International,Yes,27,24,16.47,81.5
Sanya's Pan Shop,2025-07-12,18:07:18,Match Boxes,Local,No,83,64,23.22,303.63
Adya's Pan Shop,2025-07-12,14:08:40,Lighters,Local,Yes,94,23,19.02,122.89
Tanveer's Pan Shop,2025-07-14,00:47:08,Cigarettes,Domestic,Yes,59,35,33.16,161.13
Zehaan's Pan Shop,2025-07-16,15:42:58,Sweets,Local,No,88,37,25.29,169.3
Janya's Pan Shop,2025-07-20,08:40:09,Soda,Domestic,Yes,67,65,57.45,837.9
Ekaja's Pan Shop,2025-08-09,21:11:06,Chips,International,Yes,22,7,28.53,43.58
Hemani's Pan Shop,2025-07-16,19:43:29,Mysorepak,Local,No,81,45,33.71,459.46
Rohan's Pan Shop,2025-07-31,14:30:53,Lighters,Local,Yes,6,6,25.38,34.88
Damini's Pan Shop,2025-08-07,00:29:22,Jelly,Local,No,65,25,14.88,52.68
Ayushman's Pan Shop,2025-07-18,03:15:28,Peanuts,Local,No,47,25,22.4,210.82
Harish's Pan Shop,2025-07-13,03:46:20,Jelly,Local,No,8,1,5.42,0.59
Lavanya's Pan Shop,2025-07-30,07:33:13,Biscuits,Domestic,Yes,5,4,8.61,4.27
Deepa's Pan Shop,2025-07-14,19:55:28,Chocolates,International,Yes,23,14,55.77,252.57
Robert's Pan Shop,2025-08-02,23:28:13,Cigarettes,International,Yes,19,15,33.71,98.16
Sara's Pan Shop,2025-07-16,08:56:43,Chips,International,Yes,8,1,38.36,4.42
Michael's Pan Shop,2025-07-20,01:49:34,Lighters,Local,Yes,68,16,26.68,115.87
Nathaniel's Pan Shop,2025-07-14,08:55:09,Drinks,Domestic,Yes,87,37,16.92,87.43
Neha's Pan Shop,2025-08-04,18:28:04,Cigarettes,International,Yes,68,18,45.9,292.7
Turvi's Pan Shop,2025-07-31,13:26:34,Peanuts,Local,No,85,39,17.73,103.59
Bhavna's Pan Shop,2025-07-17,11:15:43,Cigarettes,International,Yes,80,51,12.91,196.5
Yashica's Pan Shop,2025-08-07,05:55:22,Cigarettes,Domestic,Yes,22,18,30.48,136.57
Chaaya's Pan Shop,2025-07-17,23:31:06,Jelly,Local,No,90,36,53.52,627.81
Samarth's Pan Shop,2025-07-31,21:11:34,Chewing Gum,International,Yes,57,21,57.61,180.84
Adweta's Pan Shop,2025-07-13,13:42:48,Drinks,International,Yes,87,87,46.24,708.69
Jagrati's Pan Shop,2025-07-23,08:14:13,Soda,International,Yes,57,8,53.83,90.87
Robert's Pan Shop,2025-07-13,16:40:27,Sweets,Local,No,10,9,51.95,184.17
Xavier's Pan Shop,2025-07-21,00:08:12,Lighters,Local,Yes,90,86,2.26,42.91
Hredhaan's Pan Shop,2025-08-05,08:35:38,Chips,Domestic,Yes,47,17,25.67,63.29
Ati's Pan Shop,2025-07-21,19:08:17,Soanpapdi,Local,No,93,93,35.28,1003.84
Ojasvi's Pan Shop,2025-07-19,13:24:06,Mysorepak,Local,No,89,77,6.65,59.9
Yashica's Pan Shop,2025-07-21,01:54:04,Cigarettes,Domestic,Yes,72,1,36.7,3.72
